Smart_template_columns
agency_name
ori
wadeps_agency_id
incident_number
incident_date
incident_time
contact_reason
response_type
incident_location_county
incident_location_detail
incident_location_city
location_type
location_type_indoor
location_type_outdoor
incident_type_offense_against_person
incident_type_property_offense
incident_type_public_order_offense
incident_type_vehicle_stop
incident_type_pedestrian_stop
incident_type_civil_caretaking
incident_type_warrant
incident_type_other
incident_type_other_specify
incident_detail_offense_against_person_assault
incident_detail_offense_against_person_homicide
incident_detail_offense_against_person_rape
incident_detail_offense_against_person_robbery
incident_detail_offense_against_person_civil_order_violation
incident_detail_offense_against_person_other
incident_detail_offense_against_person_other_specify
incident_detail_property_offense_arson
incident_detail_property_offense_burglary
incident_detail_property_offense_theft
incident_detail_property_offense_mischief
incident_detail_property_offense_trespassing
incident_detail_property_offense_vehicle_theft_prowl
incident_detail_property_offense_other
incident_detail_property_offense_other_specify
incident_detail_public_order_offense_public_disturbance
incident_detail_public_order_offense_drug_related
incident_detail_public_order_offense_sex_related
incident_detail_public_order_offense_weapon_related
incident_detail_public_order_offense_transit_related
incident_detail_public_order_offense_other
incident_detail_public_order_offense_other_specify
incident_detail_vehicle_offense_dui
incident_detail_vehicle_offense_accident
incident_detail_vehicle_offense_moving_violation
incident_detail_vehicle_offense_non_moving_violation
incident_detail_vehicle_offense_other
incident_detail_vehicle_offense_other_specify
incident_detail_civil_caretaking_mental_health_wellness_check
incident_detail_civil_caretaking_civil_infraction
incident_detail_civil_caretaking_eviction_order_enforcement
incident_detail_civil_caretaking_domestic_order_enforcement 
incident_detail_civil_caretaking_other
incident_detail_civil_caretaking_other_specify
arrest
arrest_reason_obstruction_resistance
arrest_reason_person_crime
arrest_reason_property_crime
arrest_reason_offense_against_public_order
arrest_reason_vehicle_violation
arrest_reason_warrant
arrest_reason_other
arrest_reason_other_specify
arrest_detail_offense_against_person_assault
arrest_detail_offense_against_person_homicide
arrest_detail_offense_against_person_rape
arrest_detail_offense_against_person_robbery
arrest_detail_offense_against_person_civil_order_violation
arrest_detail_offense_against_person_other
arrest_detail_offense_against_person_other_specify
arrest_detail_property_offense_arson
arrest_detail_property_offense_burglary
arrest_detail_property_offense_theft
arrest_detail_property_offense_mischief
arrest_detail_property_offense_trespassing
arrest_detail_property_offense_vehicle_theft_prowl
arrest_detail_property_offense_other
arrest_detail_property_offense_other_specify
arrest_detail_public_order_offense_public_disturbance
arrest_detail_public_order_offense_drug_related
arrest_detail_public_order_offense_sex_related
arrest_detail_public_order_offense_weapon_related
arrest_detail_public_order_offense_transit_related
arrest_detail_public_order_offense_other
arrest_detail_public_order_offense_other_specify
arrest_detail_vehicle_offense_dui
arrest_detail_vehicle_offense_accident
arrest_detail_vehicle_offense_moving_violation
arrest_detail_vehicle_offense_non_moving_violation
arrest_detail_vehicle_offense_other
arrest_detail_vehicle_offense_other_specify
incident_dv_enhancement
arrest_dv_enhancement
officers_total
officers_force
persons_total
subjects_force
minors
point
discharge
ecw
chemical
less_lethal_discharge
impact
strike
vehicle_person
vehicle_vehicle
pit_manuever
canine
neck
force_other
force_other_specify
time_to_force
video
time_to_force_bwc
subject_id
subject_age
subject_gender_male
subject_gender_female
subject_gender_nonbinary
subject_gender_transgender
subject_gender_unknown
"
perceived_subject_race_ethnicity_american_indian_or_alaska_native"
"
perceived_subject_race_ethnicity_asian"
"
perceived_subject_race_ethnicity_black_or_african_american"
"
perceived_subject_race_ethnicity_hispanic_or_latino"
"
perceived_subject_race_ethnicity_middle_eastern_or_north_african"
"
perceived_subject_race_ethnicity_native_hawaiian_or_pacific_islander"
perceived_subject_race_ethnicity_white
perceived_subject_race_ethnicity_unknown
"
verified_subject_race_ethnicity_american_indian_or_alaska_native"
"
verified_subject_race_ethnicity_asian"
"
verified_subject_race_ethnicity_black_or_african_american"
"
verified_subject_race_ethnicity_hispanic_or_latino"
"
verified_subject_race_ethnicity_middle_eastern_or_north_african"
"
verified_subject_race_ethnicity_native_hawaiian_or_pacific_islander"
verified_subject_race_ethnicity_white
verified_subject_race_ethnicity_unknown
subject_tribal
subject_injury_none
subject_injury_apparent_minor_injury_cuts_bruises
subject_injury_severe_laceration
subject_injury_loss_of_teeth
subject_injury_canine_bite
subject_injury_apparent_broken_bones
subject_injury_possible_internal_injury
subject_injury_unconscious
subject_injury_gunshot_wound
subject_injury_death
subject_injury_unknown
subject_injury_major_other
subject_injury_major_other_specify
subject_impairment_alcohol
subject_impairment_drugs
subject_impairment_mental_health
subject_impairment_unknown
subject_armed
subject_weapon_type_blunt_object
subject_weapon_type_edged_object
subject_weapon_type_ecw
subject_weapon_type_chemical_explosive
subject_weapon_type_projectile
subject_weapon_type_firearm
subject_weapon_type_vehicle
subject_flight
subject_threat_officers
subject_threat_others
subject_threat_self
subject_resistance
civil_disobedience
officer_name
officer_cjtc
officer_assignment
officer_years_of_service
officer_injury_apparent_minor_injury_cuts_bruises
officer_injury_severe_laceration
officer_injury_loss_of_teeth
officer_injury_canine_bite
officer_injury_apparent_broken_bones
officer_injury_possible_internal_injury
officer_injury_unconscious
officer_injury_gunshot_wound
officer_injury_death
officer_injury_major_other
officer_injury_major_other_specify
